
t;x;y;v_{y};a_{y};p_{y};L;a;v
7,491;-6,764E-3;3,908;-0,393;-0,151;-0,393;4,876;0,311;0,401
7,591;1,074E-2;3,864;-0,441;-0,163;-0,441;4,924;0,573;0,448
7,691;8,830E-3;3,820;-0,419;-0,975;-0,419;4,968;1,852;0,438
7,791;3,625E-2;3,780;-0,603;-0,172;-0,603;5,016;0,860;0,615
7,891;-1,587E-2;3,700;-0,550;7,555E-2;-0,550;5,112;0,156;0,592
7,990;-7,440E-3;3,670;-0,463;0,846;-0,463;5,143;1,601;0,463
8,090;-1,505E-2;3,607;-0,486;0,405;-0,486;5,206;0,501;0,486
8,190;-1,168E-2;3,573;-0,320;0,897;-0,320;5,240;0,915;0,331
8,290;1,608E-3;3,544;-0,318;-0,601;-0,318;5,273;0,837;0,320
8,390;-4,727E-3;3,510;-0,435;-0,544;-0,435;5,307;0,622;0,440
8,490;-1,191E-2;3,457;-0,461;9,374E-2;-0,461;5,361;0,561;0,462
8,590;-8,752E-3;3,418;-0,383;-1,145;-0,383;5,400;1,350;0,408
8,690;-3,956E-2;3,380;-0,658;-0,523;-0,658;5,449;0,966;0,658
8,790;-4,768E-3;3,286;-0,616;0,486;-0,616;5,549;0,487;0,638
8,889;-6,039E-3;3,257;-0,411;1,501;-0,411;5,578;1,755;0,416
8,989;-1,807E-2;3,204;-0,413;-0,505;-0,413;5,632;0,641;0,413
9,089;-9,640E-3;3,175;-0,440;0,547;-0,440;5,663;0,594;0,444
9,189;-7,330E-3;3,116;-0,390;-0,269;-0,390;5,721;0,348;0,390
9,289;-8,177E-3;3,097;-0,390;-0,287;-0,390;5,741;0,348;0,390
9,389;-5,867E-3;3,038;-0,538;-0,710;-0,538;5,799;0,778;0,540
9,489;1,718E-3;2,989;-0,490;0,701;-0,490;5,849;0,709;0,496
9,589;9,303E-3;2,940;-0,415;0,643;-0,415;5,898;0,752;0,416
9,688;7,820E-3;2,906;-0,340;0,846;-0,340;5,932;0,880;0,340
9,788;6,337E-3;2,873;-0,267;-5,734E-2;-0,267;5,966;0,287;0,267
9,888;5,490E-3;2,853;-0,314;-0,631;-0,314;5,986;0,641;0,320
9,988;-6,120E-3;2,810;-0,437;-6,067E-3;-0,437;6,030;0,139;0,438
10,088;1,677E-3;2,766;-0,317;0,624;-0,317;6,075;0,709;0,317
10,188;-4,022E-3;2,747;-0,266;-0,156;-0,266;6,095;0,259;0,266
10,288;2,820E-3;2,713;-0,381;-0,557;-0,381;6,130;0,582;0,381
10,388;-2,879E-3;2,670;-0,384;0,199;-0,384;6,172;0,304;0,388
10,487;-8,243E-3;2,636;-0,327;0,379;-0,327;6,207;0,420;0,329
10,587;-9,588E-3;2,605;-0,308;-0,130;-0,308;6,238;0,455;0,309
10,687;-1,093E-2;2,574;-0,349;0,213;-0,349;6,269;0,276;0,352
10,787;-1,062E-3;2,535;-0,292;0,398;-0,292;6,309;0,475;0,295
10,887;-1,903E-3;2,516;-0,230;2,167E-2;-0,230;6,328;0,497;0,232
10,987;-6,931E-3;2,489;-0,307;-0,336;-0,307;6,356;0,349;0,311
11,087;-1,229E-2;2,455;-0,308;-0,331;-0,308;6,391;0,331;0,309
11,187;-9,620E-3;2,428;-0,346;-0,559;-0,346;6,418;0,576;0,348
11,287;-1,917E-2;2,386;-0,443;-0,185;-0,443;6,461;0,472;0,444
11,386;-1,349E-2;2,339;-0,390;0,424;-0,390;6,508;0,587;0,398
11,486;-3,280E-3;2,308;-0,331;0,170;-0,331;6,541;0,199;0,337
11,586;-9,429E-4;2,273;-0,369;-0,153;-0,369;6,576;0,322;0,371
11,686;5,077E-3;2,234;-0,368;-0,367;-0,368;6,615;0,587;0,369
11,786;3,564E-3;2,200;-0,422;-0,441;-0,422;6,650;0,441;0,426
11,886;-6,323E-3;2,150;-0,483;0,484;-0,483;6,700;0,568;0,483
11,986;3,212E-3;2,103;-0,330;0,930;-0,330;6,748;0,953;0,333
12,086;2,371E-3;2,084;-0,251;0,417;-0,251;6,767;0,815;0,252
12,185;4,877E-3;2,053;-0,287;-6,237E-2;-0,287;6,798;0,175;0,295
12,285;-1,170E-2;2,027;-0,251;0,372;-0,251;6,829;0,509;0,251
12,385;2,691E-3;2,003;-0,215;0,386;-0,215;6,857;0,386;0,226
12,485;1,850E-3;1,984;-0,172;-3,107E-2;-0,172;6,876;0,555;0,178
12,585;-6,523E-3;1,969;-0,210;-0,506;-0,210;6,894;0,544;0,216
12,685;-7,700E-3;1,942;-0,290;-0,633;-0,290;6,921;0,859;0,290
12,785;-5,194E-3;1,911;-0,331;-6,958E-2;-0,331;6,952;0,336;0,337
12,885;4,844E-3;1,875;-0,313;0,228;-0,313;6,988;0,276;0,323
12,984;1,137E-2;1,848;-0,272;0,240;-0,272;7,016;0,494;0,273
13,084;1,019E-2;1,821;-0,270;0,120;-0,270;7,043;0,247;0,270
13,184;9,015E-3;1,794;-0,251;0,175;-0,251;7,070;0,276;0,251
13,284;8,006E-3;1,771;-0,230;-0,120;-0,230;7,093;0,247;0,235
13,384;-7,037E-4;1,748;-0,271;9,343E-2;-0,271;7,118;0,402;0,271
13,484;9,503E-3;1,717;-0,235;0,211;-0,235;7,151;0,312;0,244
13,584;1,268E-2;1,701;-0,194;1,445E-2;-0,194;7,167;0,331;0,197
13,684;1,552E-2;1,678;-0,251;-0,268;-0,251;7,190;0,322;0,252
13,784;1,435E-2;1,651;-0,251;-4,551E-2;-0,251;7,217;0,228;0,251
13,883;1,334E-2;1,628;-0,250;-0,163;-0,250;7,240;0,175;0,252
13,983;8,310E-3;1,601;-0,288;-0,393;-0,288;7,267;0,420;0,290
14,083;6,965E-3;1,571;-0,329;-0,484;-0,329;7,298;0,568;0,329
14,183;9,303E-3;1,536;-0,383;;-0,383;7,333;;0,390
